"login","id","avatar_url","gravatar_id","url","html_url","followers_url","following_url","gists_url","starred_url","subscriptions_url","organizations_url","repos_url","events_url","received_events_url","type","site_admin","score"
"NYSMuseum",17047766,"https://avatars.githubusercontent.com/u/17047766?v=3","","https://api.github.com/users/NYSMuseum","https://github.com/NYSMuseum","https://api.github.com/users/NYSMuseum/followers","https://api.github.com/users/NYSMuseum/following{/other_user}","https://api.github.com/users/NYSMuseum/gists{/gist_id}","https://api.github.com/users/NYSMuseum/starred{/owner}{/repo}","https://api.github.com/users/NYSMuseum/subscriptions","https://api.github.com/users/NYSMuseum/orgs","https://api.github.com/users/NYSMuseum/repos","https://api.github.com/users/NYSMuseum/events{/privacy}","https://api.github.com/users/NYSMuseum/received_events","User",FALSE,3.8861928
"TheScienceMuseum",16609662,"https://avatars.githubusercontent.com/u/16609662?v=3","","https://api.github.com/users/TheScienceMuseum","https://github.com/TheScienceMuseum","https://api.github.com/users/TheScienceMuseum/followers","https://api.github.com/users/TheScienceMuseum/following{/other_user}","https://api.github.com/users/TheScienceMuseum/gists{/gist_id}","https://api.github.com/users/TheScienceMuseum/starred{/owner}{/repo}","https://api.github.com/users/TheScienceMuseum/subscriptions","https://api.github.com/users/TheScienceMuseum/orgs","https://api.github.com/users/TheScienceMuseum/repos","https://api.github.com/users/TheScienceMuseum/events{/privacy}","https://api.github.com/users/TheScienceMuseum/received_events","Organization",FALSE,3.8861928
"studiomuseum",11411369,"https://avatars.githubusercontent.com/u/11411369?v=3","","https://api.github.com/users/studiomuseum","https://github.com/studiomuseum","https://api.github.com/users/studiomuseum/followers","https://api.github.com/users/studiomuseum/following{/other_user}","https://api.github.com/users/studiomuseum/gists{/gist_id}","https://api.github.com/users/studiomuseum/starred{/owner}{/repo}","https://api.github.com/users/studiomuseum/subscriptions","https://api.github.com/users/studiomuseum/orgs","https://api.github.com/users/studiomuseum/repos","https://api.github.com/users/studiomuseum/events{/privacy}","https://api.github.com/users/studiomuseum/received_events","User",FALSE,3.8861928
"mudpie446",13980674,"https://avatars.githubusercontent.com/u/13980674?v=3","","https://api.github.com/users/mudpie446","https://github.com/mudpie446","https://api.github.com/users/mudpie446/followers","https://api.github.com/users/mudpie446/following{/other_user}","https://api.github.com/users/mudpie446/gists{/gist_id}","https://api.github.com/users/mudpie446/starred{/owner}{/repo}","https://api.github.com/users/mudpie446/subscriptions","https://api.github.com/users/mudpie446/orgs","https://api.github.com/users/mudpie446/repos","https://api.github.com/users/mudpie446/events{/privacy}","https://api.github.com/users/mudpie446/received_events","User",FALSE,3.8861928
"nhm-github",6304898,"https://avatars.githubusercontent.com/u/6304898?v=3","","https://api.github.com/users/nhm-github","https://github.com/nhm-github","https://api.github.com/users/nhm-github/followers","https://api.github.com/users/nhm-github/following{/other_user}","https://api.github.com/users/nhm-github/gists{/gist_id}","https://api.github.com/users/nhm-github/starred{/owner}{/repo}","https://api.github.com/users/nhm-github/subscriptions","https://api.github.com/users/nhm-github/orgs","https://api.github.com/users/nhm-github/repos","https://api.github.com/users/nhm-github/events{/privacy}","https://api.github.com/users/nhm-github/received_events","User",FALSE,3.8861928
"monticello-railway-museum",7809297,"https://avatars.githubusercontent.com/u/7809297?v=3","","https://api.github.com/users/monticello-railway-museum","https://github.com/monticello-railway-museum","https://api.github.com/users/monticello-railway-museum/followers","https://api.github.com/users/monticello-railway-museum/following{/other_user}","https://api.github.com/users/monticello-railway-museum/gists{/gist_id}","https://api.github.com/users/monticello-railway-museum/starred{/owner}{/repo}","https://api.github.com/users/monticello-railway-museum/subscriptions","https://api.github.com/users/monticello-railway-museum/orgs","https://api.github.com/users/monticello-railway-museum/repos","https://api.github.com/users/monticello-railway-museum/events{/privacy}","https://api.github.com/users/monticello-railway-museum/received_events","Organization",FALSE,3.8861928
"monticello-railway-museum",7809297,"https://avatars.githubusercontent.com/u/7809297?v=3","","https://api.github.com/users/monticello-railway-museum","https://github.com/monticello-railway-museum","https://api.github.com/users/monticello-railway-museum/followers","https://api.github.com/users/monticello-railway-museum/following{/other_user}","https://api.github.com/users/monticello-railway-museum/gists{/gist_id}","https://api.github.com/users/monticello-railway-museum/starred{/owner}{/repo}","https://api.github.com/users/monticello-railway-museum/subscriptions","https://api.github.com/users/monticello-railway-museum/orgs","https://api.github.com/users/monticello-railway-museum/repos","https://api.github.com/users/monticello-railway-museum/events{/privacy}","https://api.github.com/users/monticello-railway-museum/received_events","Organization",FALSE,3.8475409
"psrm",12108042,"https://avatars.githubusercontent.com/u/12108042?v=3","","https://api.github.com/users/psrm","https://github.com/psrm","https://api.github.com/users/psrm/followers","https://api.github.com/users/psrm/following{/other_user}","https://api.github.com/users/psrm/gists{/gist_id}","https://api.github.com/users/psrm/starred{/owner}{/repo}","https://api.github.com/users/psrm/subscriptions","https://api.github.com/users/psrm/orgs","https://api.github.com/users/psrm/repos","https://api.github.com/users/psrm/events{/privacy}","https://api.github.com/users/psrm/received_events","Organization",FALSE,3.8475409
"reelab",18236842,"https://avatars.githubusercontent.com/u/18236842?v=3","","https://api.github.com/users/reelab","https://github.com/reelab","https://api.github.com/users/reelab/followers","https://api.github.com/users/reelab/following{/other_user}","https://api.github.com/users/reelab/gists{/gist_id}","https://api.github.com/users/reelab/starred{/owner}{/repo}","https://api.github.com/users/reelab/subscriptions","https://api.github.com/users/reelab/orgs","https://api.github.com/users/reelab/repos","https://api.github.com/users/reelab/events{/privacy}","https://api.github.com/users/reelab/received_events","Organization",FALSE,3.8475409
"nmalabs",463618,"https://avatars.githubusercontent.com/u/463618?v=3","","https://api.github.com/users/nmalabs","https://github.com/nmalabs","https://api.github.com/users/nmalabs/followers","https://api.github.com/users/nmalabs/following{/other_user}","https://api.github.com/users/nmalabs/gists{/gist_id}","https://api.github.com/users/nmalabs/starred{/owner}{/repo}","https://api.github.com/users/nmalabs/subscriptions","https://api.github.com/users/nmalabs/orgs","https://api.github.com/users/nmalabs/repos","https://api.github.com/users/nmalabs/events{/privacy}","https://api.github.com/users/nmalabs/received_events","Organization",FALSE,3.8475409
