"html_url","type","name","company","blog","location","bio","public_repos","followers","created_at","updated_at"
"https://github.com/lifeandscience","Organization","Museum of Life and Science",,"http://lifeandscience.org","Durham, NC",,"15","0","2011-05-04T14:32:09Z","2016-03-22T20:22:29Z"
"https://github.com/wamuseum","Organization","Western Australian Museum",,"museum.wa.gov.au","Western Australia",,"5","0","2014-01-30T04:00:33Z","2016-03-28T10:10:16Z"
"https://github.com/PortlandArtMuseum","Organization","Portland Art Museum",,"http://portlandartmuseum.org","Portland, Oregon",,"4","0","2015-07-06T22:48:19Z","2016-04-07T20:22:00Z"
"https://github.com/museumlung7","User",,,,,,"0","0","2012-10-08T01:21:09Z","2015-04-07T16:55:24Z"
"https://github.com/museumcross13","User",,,,,,"0","0","2013-05-26T03:19:06Z","2016-02-27T08:50:18Z"
"https://github.com/Museumac","User",,"Of the world. Is full of flakes and debits and credit criminals and people that were downtrodden by the recession is just not true very interesting and very informative for me anyway and I really. ","http://www.museumac.com/","Thought of it that way well that's the purpose the podcast make the think little differently and when I give you a question from my talent Hawaii and I have Hawaii will have you handle this account. ",,"0","0","2015-02-11T04:42:49Z","2016-02-28T01:02:41Z"
"https://github.com/museum2015","User",,,,,,"1","0","2015-02-26T10:50:43Z","2016-02-28T01:45:22Z"
"https://github.com/museumresearch","User",,,,,,"0","0","2015-03-18T16:10:15Z","2016-02-28T02:38:37Z"
"https://github.com/MuseumofModernArt","Organization","MoMA",,"http://www.moma.org","11 West 53rd Street, New York, NY 10019",,"1","0","2015-04-21T18:55:45Z","2015-07-27T20:54:20Z"
"https://github.com/museumweek3","User",,,"http://alnaharda.com/",,,"0","0","2013-09-07T09:15:01Z","2016-02-27T11:01:39Z"
"https://github.com/museumcanada78","User",,,,,,"0","0","2013-01-28T13:42:13Z","2015-04-07T23:54:10Z"
"https://github.com/museume","User",,,,,,"0","0","2013-09-20T17:53:40Z","2016-02-27T11:15:49Z"
"https://github.com/museummile","User","Carol",,,,,"0","0","2015-05-27T23:18:33Z","2016-02-28T05:35:11Z"
"https://github.com/Museum-IT","Organization","Museum-IT",,"www.museum-it.dk","Copenhagen","IT Consultancy company","0","0","2015-05-30T06:27:26Z","2015-05-30T06:29:41Z"
"https://github.com/MuseumofModernArt","Organization","MoMA",,"http://www.moma.org","11 West 53rd Street, New York, NY 10019",,"1","0","2015-04-21T18:55:45Z","2015-07-27T20:54:20Z"
"https://github.com/museummile","User","Carol",,,,,"0","0","2015-05-27T23:18:33Z","2016-02-28T05:35:11Z"
"https://github.com/Museum-IT","Organization","Museum-IT",,"www.museum-it.dk","Copenhagen","IT Consultancy company","0","0","2015-05-30T06:27:26Z","2015-05-30T06:29:41Z"
"https://github.com/museumlung7","User",,,,,,"0","0","2012-10-08T01:21:09Z","2015-04-07T16:55:24Z"
"https://github.com/museums","Organization",,,,,,"1","0","2014-04-30T16:38:36Z","2014-04-30T21:34:32Z"
"https://github.com/digitalgamemuseum","Organization","Digital Game Museum",,"http://www.digitalgamemuseum.org","Santa Clara, CA",,"2","0","2013-11-19T14:47:01Z","2016-02-27T12:24:11Z"
"https://github.com/stillmuseum","Organization","Clyfford Still Museum",,"http://www.clyffordstillmuseum.org/","Denver, CO",,"2","0","2014-05-04T20:23:25Z","2015-04-03T22:59:12Z"
"https://github.com/OpenSourceMuseum","User","Open Source Museum of Abandonment","Ubiquitous Infoscapes @ Unidee","http://www.cittadellarte.it/unidee/activity.html?id=8","Biella, Italy",,"6","1","2015-05-06T17:53:01Z","2016-02-28T04:36:51Z"
"https://github.com/satmuseum","User","SAT Museum Initiative",,"http://satmuseum.github.io",,,"2","0","2015-10-30T17:42:43Z","2016-02-28T13:18:51Z"
"https://github.com/Beit-Hatfutsot","Organization","The Museum of the Jewish People ",,"http://bh.org.il","Tel Aviv",,"7","0","2015-10-21T09:17:17Z","2015-10-21T11:15:09Z"
"https://github.com/MuseumBot","User",,,,,,"0","0","2015-06-08T15:54:07Z","2016-02-28T06:01:03Z"
"https://github.com/museumplanning","User",,,,,,"0","0","2015-02-06T02:28:06Z","2016-02-28T00:50:19Z"
"https://github.com/MuseumSpark","Organization","Museum Spark",,,"New York, New York",,"0","0","2015-02-04T08:47:54Z","2015-09-21T20:06:14Z"
"https://github.com/museum0weeder","User",,,,,,"0","0","2012-10-19T09:30:43Z","2015-04-07T17:05:16Z"
"https://github.com/MuseumofHistory","User","History Museum","American Pickers Gettysburg Museum","http://www.gettysburgmuseumofhistory.com/",,,"0","0","2013-09-03T00:49:53Z","2016-02-27T10:56:25Z"
"https://github.com/museumnerd","User",,,,,,"0","0","2011-11-18T21:06:33Z","2015-04-07T15:15:56Z"
"https://github.com/museummakeup24","User",,,,,,"0","0","2013-01-16T15:45:54Z","2015-04-07T23:43:02Z"
"https://github.com/museum21otter","User",,,,,,"0","0","2012-09-24T01:06:09Z","2015-04-07T16:45:38Z"
"https://github.com/museum6talk","User",,,,,,"0","0","2012-10-11T07:23:39Z","2015-04-07T16:58:12Z"
"https://github.com/MuseumsGalleriesScotland","Organization",,,,,,"0","0","2015-11-02T10:29:38Z","2015-11-02T10:29:39Z"
"https://github.com/museum-of-art-fraud","Organization",,,,,,"1","0","2015-11-06T23:12:24Z","2015-11-06T23:12:24Z"
"https://github.com/MuseumAssociates","Organization",,,,,,"0","0","2015-02-17T21:15:14Z","2016-03-18T20:22:13Z"
"https://github.com/museum4","User",,,,,,"0","0","2016-01-10T08:41:58Z","2016-03-16T04:29:19Z"
"https://github.com/MuseumofMakingMusic","User",,,,,,"0","0","2016-03-14T21:55:52Z","2016-03-14T21:55:52Z"
"https://github.com/MuseumBINARIUM","User","BINARIUM","Digitales Erlebnis-Center GmbH","retrobude.de","Dortmund, Germany",,"0","0","2016-01-23T16:29:50Z","2016-01-23T16:31:29Z"
"https://github.com/museummqp15","User",,,,,,"1","0","2016-01-21T19:53:52Z","2016-02-28T16:31:20Z"
"https://github.com/Museum-of-Art-and-Digital-Entertainment","Organization","Museum of Art and Digital Entertainment",,"http://www.themade.org","3400 Broadway, Oakland CA 94611","A 501c3 non-profit dedicated to preserving our videogame heritage, and teaching the public how games are made.","1","0","2016-01-12T00:01:30Z","2016-01-17T05:55:39Z"
"https://github.com/museumofthebible","Organization",,,,,,"1","0","2015-09-25T14:30:31Z","2016-03-25T10:01:13Z"
"https://github.com/satmuseum","User","SAT Museum Initiative",,"http://satmuseum.github.io",,,"2","0","2015-10-30T17:42:43Z","2016-02-28T13:18:51Z"
"https://github.com/camla","Organization","Chinese American Museum",,"http://camla.org/","Los Angeles, CA",,"3","0","2014-05-03T21:19:13Z","2014-05-05T03:47:01Z"
"https://github.com/Beit-Hatfutsot","Organization","The Museum of the Jewish People ",,"http://bh.org.il","Tel Aviv",,"7","0","2015-10-21T09:17:17Z","2015-10-21T11:15:09Z"
"https://github.com/HammerMuseum","Organization","Hammer Museum",,"http://hammer.ucla.edu","Los Angeles, CA, USA",,"0","0","2015-05-16T00:43:23Z","2015-07-06T20:03:19Z"
"https://github.com/FloorMuseum","User","Floor Museum",,"http://floormuseum.com",,,"1","0","2015-06-17T19:04:00Z","2016-02-28T06:24:15Z"
